Nene's Game,https://codeforces.com/problemset/problem/1956/A,800,no,yes,yes
Long Multiplication,https://codeforces.com/problemset/problem/1954/C,800,no,yes,no
Painting the Ribbon,https://codeforces.com/problemset/problem/1954/A,1200,no,yes,no
Battle Cows,https://codeforces.com/problemset/problem/1951/B,900,no,yes,yes
Dual Trigger,https://codeforces.com/problemset/problem/1951/A,1200,no,yes,no
Product of Binary Decimals,https://codeforces.com/problemset/problem/1950/D,900,yes,no,no
Array Fix,https://codeforces.com/problemset/problem/1948/B,800,yes,yes,no
Maximum Sum,https://codeforces.com/problemset/problem/1946/B,800,yes,yes,no
Median of an Array,https://codeforces.com/problemset/problem/1946/A,1100,no,yes,no
Setting up Camp,https://codeforces.com/problemset/problem/1945/A,900,no,yes,no
Destroying Bridges,https://codeforces.com/problemset/problem/1944/A,1100,no,yes,no
Rudolf and the Ball Game,https://codeforces.com/problemset/problem/1941/D,800,yes,no,no
Rudolf and the Ugly String,https://codeforces.com/problemset/problem/1941/C,1200,yes,yes,no
Rudolf and 121,https://codeforces.com/problemset/problem/1941/B,900,yes,yes,no
Yet Another Coin Problem,https://codeforces.com/problemset/problem/1934/B,800,yes,yes,no
Too Min Too Max,https://codeforces.com/problemset/problem/1934/A,1200,no,yes,no
Turtle Tenacity: Continual Mods,https://codeforces.com/problemset/problem/1933/D,800,no,yes,no
Turtle Puzzle: Rearrange and Negate,https://codeforces.com/problemset/problem/1933/A,800,no,yes,no
Thorns and Coins,https://codeforces.com/problemset/problem/1932/A,1100,yes,yes,no
Make Equal Again,https://codeforces.com/problemset/problem/1931/C,800,no,yes,no
Make Equal,https://codeforces.com/problemset/problem/1931/B,1000,no,yes,no
Maximise The Score,https://codeforces.com/problemset/problem/1930/A,1000,no,yes,no
Sasha and the Drawing,https://codeforces.com/problemset/problem/1929/B,800,no,yes,no
Sasha and the Beautiful Array,https://codeforces.com/problemset/problem/1929/A,800,no,yes,no
Equalize,https://codeforces.com/problemset/problem/1928/B,800,no,yes,yes
Choose the Different Ones!,https://codeforces.com/problemset/problem/1927/C,800,no,yes,no
Following the String,https://codeforces.com/problemset/problem/1927/B,1000,no,yes,no
Make it White,https://codeforces.com/problemset/problem/1927/A,900,no,yes,no
Vlad and a Sum of Sum of Digits,https://codeforces.com/problemset/problem/1926/C,800,yes,no,no
A Balanced Problemset?,https://codeforces.com/problemset/problem/1925/B,800,no,yes,no
We Got Everything Covered!,https://codeforces.com/problemset/problem/1925/A,1200,no,yes,no
Monsters Attack!,https://codeforces.com/problemset/problem/1923/B,800,yes,yes,no
Moving Chips,https://codeforces.com/problemset/problem/1923/A,1100,no,yes,no
Very Different Array,https://codeforces.com/problemset/problem/1921/D,800,no,yes,no
Sending Messages,https://codeforces.com/problemset/problem/1921/C,1100,no,yes,no
Arranging Cats,https://codeforces.com/problemset/problem/1921/B,900,no,yes,no
Square,https://codeforces.com/problemset/problem/1921/A,800,no,yes,no
Summation Game,https://codeforces.com/problemset/problem/1920/B,800,no,yes,no
Satisfying Constraints,https://codeforces.com/problemset/problem/1920/A,1100,no,yes,no
Plus-Minus Split,https://codeforces.com/problemset/problem/1919/B,800,no,yes,no
Minimize Inversions,https://codeforces.com/problemset/problem/1918/B,800,no,yes,no
Brick Wall,https://codeforces.com/problemset/problem/1918/A,900,no,yes,no
Erase First or Second Letter,https://codeforces.com/problemset/problem/1917/B,800,yes,no,no
Training Before the Olympiad,https://codeforces.com/problemset/problem/1916/C,800,no,yes,no
Unnatural Language Processing,https://codeforces.com/problemset/problem/1915/D,800,no,yes,no
Can I Square?,https://codeforces.com/problemset/problem/1915/C,900,no,no,yes
Three Activities,https://codeforces.com/problemset/problem/1914/D,800,yes,yes,no
Quests,https://codeforces.com/problemset/problem/1914/C,1200,no,yes,no
Removal of Unattractive Pairs,https://codeforces.com/problemset/problem/1907/C,800,no,yes,no
